"","time","t00","t02","t04","t08","t10","t18","t23","t25","t26","t27"
"319",3.19,0,0,1,0,0,0,0,0,0,0
"320",3.2,0,0,1,0,0,0,1,0,0,1
"321",3.21,0,0,0,0,0,0,0,0,0,0
"322",3.22,0,0,0,0,0,0,0,0,0,0
"323",3.23,0,0,0,0,0,0,0,0,0,1
"324",3.24,0,0,0,0,0,0,0,0,0,0
"325",3.25,0,0,1,0,0,0,0,0,0,0
"326",3.26,0,0,0,0,0,0,0,0,0,1
"327",3.27,0,0,0,0,0,0,0,0,0,0
"328",3.28,0,0,0,0,0,0,0,0,0,0
"329",3.29,0,0,2,0,0,0,1,0,0,2
"330",3.3,0,0,0,0,0,0,0,0,0,0
"331",3.31,0,0,0,0,0,0,0,0,0,0
"332",3.32,0,0,0,0,0,0,1,0,0,1
"333",3.33,0,0,0,0,0,0,1,0,0,0
"334",3.34,0,0,0,0,0,0,1,0,0,0
"335",3.35,0,0,0,0,0,0,0,0,0,0
"336",3.36,0,0,0,0,0,0,0,0,0,0
"337",3.37,0,0,0,0,0,0,0,0,0,0
"338",3.38,0,0,0,0,0,0,1,0,0,2
"339",3.39,0,0,1,0,0,0,0,0,0,0
"340",3.4,0,0,0,0,0,0,0,0,0,1
"341",3.41,0,0,0,0,0,0,0,0,0,0
"342",3.42,0,0,0,0,0,0,0,0,0,0
"343",3.43,0,0,0,0,0,0,0,0,0,0
"344",3.44,0,0,0,0,0,0,0,0,0,0
"345",3.45,0,0,0,0,0,0,1,0,0,0
"346",3.46,0,0,0,0,0,0,1,0,0,0
"347",3.47,0,0,0,0,0,0,1,0,0,0
"348",3.48,0,0,0,0,0,0,0,0,0,1
"349",3.49,0,0,2,0,0,0,0,0,0,0
"350",3.5,0,0,2,0,0,0,0,0,0,2
"351",3.51,0,0,0,0,0,0,0,0,0,0
"352",3.52,0,0,0,0,0,0,0,0,0,0
"353",3.53,0,0,0,0,0,0,0,0,0,0
"354",3.54,0,0,0,0,0,0,0,0,0,0
"355",3.55,0,0,0,0,0,0,0,0,0,0
"356",3.56,0,0,1,0,0,0,1,0,0,0
"357",3.57,0,0,0,0,0,0,0,0,0,2
"358",3.58,0,0,0,0,0,0,0,0,0,0
"359",3.59,0,0,0,0,0,0,0,0,0,0
"360",3.6,1,0,0,0,0,0,0,0,0,0
"361",3.61,1,0,2,0,0,0,0,0,0,0
"362",3.62,0,0,0,0,0,0,0,0,0,2
"363",3.63,0,0,0,0,0,0,0,0,0,1
"364",3.64,0,0,0,0,0,0,0,0,0,1
"365",3.65,0,0,0,0,0,0,0,0,0,0
"366",3.66,0,0,0,0,0,0,0,0,0,0
"367",3.67,0,0,0,0,0,0,1,0,0,0
"368",3.68,0,0,0,0,0,0,0,0,0,1
